,REPO,SHA,CONFIG_PARAMETER,TEST_NAME,VALUE,TYPE(GOOD|BAD),EXPECTATION(PASS|FAIL)
0,https://github.com/apache/kylin,63f9ac6bcd0db005f10935d88747d39fc0819ab7,kylin.metadata.url,org.apache.kylin.common.persistence.ResourceToolTest#testCopy,obviously-bad-value,BAD, 
1,https://github.com/apache/kylin,63f9ac6bcd0db005f10935d88747d39fc0819ab7,kylin.metadata.url,org.apache.kylin.common.persistence.ResourceToolTest#testCopy,kylin_metadata@hbase,GOOD, 
2,https://github.com/apache/kylin,63f9ac6bcd0db005f10935d88747d39fc0819ab7,kylin.metadata.url,org.apache.kylin.common.util.SourceConfigurationUtilTest#testHiveConf,obviously-bad-value,BAD, 
3,https://github.com/apache/kylin,63f9ac6bcd0db005f10935d88747d39fc0819ab7,kylin.metadata.url,org.apache.kylin.common.util.SourceConfigurationUtilTest#testHiveConf,kylin_metadata@hbase,GOOD, 
4,https://github.com/apache/kylin,63f9ac6bcd0db005f10935d88747d39fc0819ab7,kylin.metadata.url,org.apache.kylin.common.KylinConfigTest#testCreateInstanceFromUriThrowsRuntimeException,obviously-bad-value,BAD, 
5,https://github.com/apache/kylin,63f9ac6bcd0db005f10935d88747d39fc0819ab7,kylin.metadata.url,org.apache.kylin.common.KylinConfigTest#testCreateInstanceFromUriThrowsRuntimeException,kylin_metadata@hbase,GOOD, 
6,https://github.com/apache/kylin,63f9ac6bcd0db005f10935d88747d39fc0819ab7,kylin.metadata.url,org.apache.kylin.common.persistence.HDFSResourceStoreTest#testListResourcesImpl,obviously-bad-value,BAD, 
7,https://github.com/apache/kylin,63f9ac6bcd0db005f10935d88747d39fc0819ab7,kylin.metadata.url,org.apache.kylin.common.persistence.HDFSResourceStoreTest#testListResourcesImpl,kylin_metadata@hbase,GOOD, 
8,https://github.com/apache/kylin,63f9ac6bcd0db005f10935d88747d39fc0819ab7,kylin.metadata.url,org.apache.kylin.common.KylinConfigTest#testPropertiesHotLoad,obviously-bad-value,BAD, 
9,https://github.com/apache/kylin,63f9ac6bcd0db005f10935d88747d39fc0819ab7,kylin.metadata.url,org.apache.kylin.common.KylinConfigTest#testPropertiesHotLoad,kylin_metadata@hbase,GOOD, 
10,https://github.com/apache/kylin,63f9ac6bcd0db005f10935d88747d39fc0819ab7,kylin.metadata.url,org.apache.kylin.common.KylinConfigTest#testCalciteExtrasProperties,obviously-bad-value,BAD, 
11,https://github.com/apache/kylin,63f9ac6bcd0db005f10935d88747d39fc0819ab7,kylin.metadata.url,org.apache.kylin.common.KylinConfigTest#testCalciteExtrasProperties,kylin_metadata@hbase,GOOD, 
12,https://github.com/apache/kylin,63f9ac6bcd0db005f10935d88747d39fc0819ab7,kylin.metadata.url,org.apache.kylin.common.zookeeper.KylinServerDiscoveryTest#test,obviously-bad-value,BAD, 
13,https://github.com/apache/kylin,63f9ac6bcd0db005f10935d88747d39fc0819ab7,kylin.metadata.url,org.apache.kylin.common.zookeeper.KylinServerDiscoveryTest#test,kylin_metadata@hbase,GOOD, 
14,https://github.com/apache/kylin,63f9ac6bcd0db005f10935d88747d39fc0819ab7,kylin.metadata.url,org.apache.kylin.common.KylinConfigTest#testExtShareTheBase,obviously-bad-value,BAD, 
15,https://github.com/apache/kylin,63f9ac6bcd0db005f10935d88747d39fc0819ab7,kylin.metadata.url,org.apache.kylin.common.KylinConfigTest#testExtShareTheBase,kylin_metadata@hbase,GOOD, 
16,https://github.com/apache/kylin,63f9ac6bcd0db005f10935d88747d39fc0819ab7,kylin.metadata.url,org.apache.kylin.common.persistence.LocalFileResourceStoreTest#testFileStore,obviously-bad-value,BAD, 
17,https://github.com/apache/kylin,63f9ac6bcd0db005f10935d88747d39fc0819ab7,kylin.metadata.url,org.apache.kylin.common.persistence.LocalFileResourceStoreTest#testFileStore,kylin_metadata@hbase,GOOD, 
18,https://github.com/apache/kylin,63f9ac6bcd0db005f10935d88747d39fc0819ab7,kylin.metadata.url,org.apache.kylin.common.util.SSHClientTest#testCmd,obviously-bad-value,BAD, 
19,https://github.com/apache/kylin,63f9ac6bcd0db005f10935d88747d39fc0819ab7,kylin.metadata.url,org.apache.kylin.common.util.SSHClientTest#testCmd,kylin_metadata@hbase,GOOD, 
20,https://github.com/apache/kylin,63f9ac6bcd0db005f10935d88747d39fc0819ab7,kylin.metadata.url,org.apache.kylin.common.KylinConfigTest#testHdfsWorkingDir,obviously-bad-value,BAD, 
21,https://github.com/apache/kylin,63f9ac6bcd0db005f10935d88747d39fc0819ab7,kylin.metadata.url,org.apache.kylin.common.KylinConfigTest#testHdfsWorkingDir,kylin_metadata@hbase,GOOD, 
22,https://github.com/apache/kylin,63f9ac6bcd0db005f10935d88747d39fc0819ab7,kylin.metadata.url,org.apache.kylin.common.restclient.RestClientTest#basicTests,obviously-bad-value,BAD, 
23,https://github.com/apache/kylin,63f9ac6bcd0db005f10935d88747d39fc0819ab7,kylin.metadata.url,org.apache.kylin.common.restclient.RestClientTest#basicTests,kylin_metadata@hbase,GOOD, 
