,REPO,SHA,CONFIG_PARAMETER,TEST_NAME,VALUE,TYPE(GOOD|BAD),EXPECTATION(PASS|FAIL)
0,https://github.com/apache/kylin,63f9ac6bcd0db005f10935d88747d39fc0819ab7,kylin.resourcestore.reconnect-base-ms,org.apache.kylin.cube.CubeManagerTest#testGetCubeNameWithNamespace,some-value,BAD, 
1,https://github.com/apache/kylin,63f9ac6bcd0db005f10935d88747d39fc0819ab7,kylin.resourcestore.reconnect-base-ms,org.apache.kylin.cube.CubeManagerTest#testGetCubeNameWithNamespace,100,GOOD, 
2,https://github.com/apache/kylin,63f9ac6bcd0db005f10935d88747d39fc0819ab7,kylin.resourcestore.reconnect-base-ms,org.apache.kylin.cube.CubeManagerTest#testGetCubeNameWithNamespace,0,GOOD, 
3,https://github.com/apache/kylin,63f9ac6bcd0db005f10935d88747d39fc0819ab7,kylin.resourcestore.reconnect-base-ms,org.apache.kylin.cube.CubeManagerTest#testGetCubeNameWithNamespace,0.1,GOOD, 
4,https://github.com/apache/kylin,63f9ac6bcd0db005f10935d88747d39fc0819ab7,kylin.resourcestore.reconnect-base-ms,org.apache.kylin.cube.CubeManagerTest#testGetCubeNameWithNamespace,600000,GOOD, 
5,https://github.com/apache/kylin,63f9ac6bcd0db005f10935d88747d39fc0819ab7,kylin.resourcestore.reconnect-base-ms,org.apache.kylin.cube.CubeManagerTest#testGetCubeNameWithNamespace,-300,BAD, 
6,https://github.com/apache/kylin,63f9ac6bcd0db005f10935d88747d39fc0819ab7,kylin.resourcestore.reconnect-base-ms,org.apache.kylin.cube.CubeManagerTest#testGetCubeNameWithNamespace,1000,GOOD, 
7,https://github.com/apache/kylin,63f9ac6bcd0db005f10935d88747d39fc0819ab7,kylin.resourcestore.reconnect-base-ms,org.apache.kylin.cube.CubeSegmentsTest#testAppendNonPartitioned,some-value,BAD, 
8,https://github.com/apache/kylin,63f9ac6bcd0db005f10935d88747d39fc0819ab7,kylin.resourcestore.reconnect-base-ms,org.apache.kylin.cube.CubeSegmentsTest#testAppendNonPartitioned,100,GOOD, 
9,https://github.com/apache/kylin,63f9ac6bcd0db005f10935d88747d39fc0819ab7,kylin.resourcestore.reconnect-base-ms,org.apache.kylin.cube.CubeSegmentsTest#testAppendNonPartitioned,0,GOOD, 
10,https://github.com/apache/kylin,63f9ac6bcd0db005f10935d88747d39fc0819ab7,kylin.resourcestore.reconnect-base-ms,org.apache.kylin.cube.CubeSegmentsTest#testAppendNonPartitioned,0.1,GOOD, 
11,https://github.com/apache/kylin,63f9ac6bcd0db005f10935d88747d39fc0819ab7,kylin.resourcestore.reconnect-base-ms,org.apache.kylin.cube.CubeSegmentsTest#testAppendNonPartitioned,600000,GOOD, 
12,https://github.com/apache/kylin,63f9ac6bcd0db005f10935d88747d39fc0819ab7,kylin.resourcestore.reconnect-base-ms,org.apache.kylin.cube.CubeSegmentsTest#testAppendNonPartitioned,-300,BAD, 
13,https://github.com/apache/kylin,63f9ac6bcd0db005f10935d88747d39fc0819ab7,kylin.resourcestore.reconnect-base-ms,org.apache.kylin.cube.CubeSegmentsTest#testAppendNonPartitioned,1000,GOOD, 
14,https://github.com/apache/kylin,63f9ac6bcd0db005f10935d88747d39fc0819ab7,kylin.resourcestore.reconnect-base-ms,org.apache.kylin.cube.CubeManagerTest#testAutoMergeWithGap,some-value,BAD, 
15,https://github.com/apache/kylin,63f9ac6bcd0db005f10935d88747d39fc0819ab7,kylin.resourcestore.reconnect-base-ms,org.apache.kylin.cube.CubeManagerTest#testAutoMergeWithGap,100,GOOD, 
16,https://github.com/apache/kylin,63f9ac6bcd0db005f10935d88747d39fc0819ab7,kylin.resourcestore.reconnect-base-ms,org.apache.kylin.cube.CubeManagerTest#testAutoMergeWithGap,0,GOOD, 
